movie_title,release_date,genre
Carmine Street Guitars,24-Apr-19,Documentary
Cousin Jules,27-Nov-13,Documentary
Living in Oblivion,21-Jul-95,"Drama,Comedy"
Midnight Traveler,18-Sep-19,"War,Documentary"
All Is Well,6-Jun-19,Drama
Quest for Fire,12-Feb-82,"Adventure,Drama,History"
Hotel by the River,15-Feb-19,Drama
Two Family House,6-Oct-00,Drama
"Love, Antosha",2-Aug-19,"Biography,Music,Documentary"
Henri Langlois: The Phantom of the Cinematheque,12-Oct-05,"Biography,History,Documentary"
Hooligan Sparrow,22-Jul-16,"Drama,Crime,Documentary,News"
Home of the Brave,27-Oct-04,Documentary
Presenting Princess Shaw,27-May-16,"Music,Documentary"
"Sobibór, 14 octobre 1943, 16 heures",12-Oct-01,"History,Documentary"
Miles Davis: Birth of the Cool,23-Aug-19,"Music,Documentary"
A Place in the Sun,14-Aug-51,"Drama,Romance"
House Party,9-Mar-90,"Comedy,Romance,Music"
Anita O'Day: The Life of a Jazz Singer,15-Aug-08,"Music,Documentary"
Time to Choose,3-Jun-16,Documentary
Ballplayer: Pelotero,13-Jul-12,"Drama,Sport,Documentary"
Notes on Blindness,16-Nov-16,"Drama,Documentary"
Jeremiah Johnson,12-May-72,"Adventure,Drama,Western"
Under The Wire,16-Nov-18,Documentary
Kids for Cash,7-Feb-14,"Drama,Crime,Documentary,News"
Another Road Home,29-Apr-05,Documentary
Down from the Mountain,15-Jun-01,"Music,Documentary"
Very Semi-Serious,20-Nov-15,Documentary
Raise Hell: The Life & Times of Molly Ivins,30-Aug-19,Documentary
Egg,18-Jan-19,Comedy
Chisholm '72: Unbought & Unbossed,24-Sep-04,Documentary
Werewolf,1-Mar-18,Drama
The Fall of Fujimori,18-Jan-06,Documentary
Sky Ladder: The Art of Cai Guo-Qiang,14-Oct-16,Documentary
Knuckleball!,21-Sep-12,Documentary
Uprising (2013),11-Jan-13,"Action,History,Documentary,News"
Berlin,18-Jul-08,Documentary
Full Battle Rattle,9-Jul-08,Documentary
The Great Invisible,29-Oct-14,Documentary
When I Saw You,15-Jan-14,Drama
Dormant Beauty,6-Jun-14,Drama
Thirst Street,20-Sep-17,"Drama,Comedy,Romance"
On the Town,30-Dec-49,"Comedy,Romance,Musical"
"Never Steady, Never Still",22-Jun-18,Drama
Sworn Virgin,22-Apr-16,Drama
Where's My Roy Cohn?,20-Sep-19,Documentary
The Duellists,13-Jan-78,"Drama,War"
Our Father,20-Feb-04,Drama
Bob Roberts,4-Sep-92,"Drama,Comedy"
Gabrielle,4-Jul-14,"Drama,Romance,Music"
Wait for Your Laugh,3-Nov-17,"Comedy,Documentary"
The Eyes of Tammy Faye,21-Jul-00,"Biography,Documentary"
Youth,15-Dec-17,"Drama,Romance"
Melody Time,27-May-48,"Music,Animation,Family,Musical"
10,5-Oct-79,"Comedy,Romance"
Police Story 2 (1988),8-Mar-19,"Action,Thriller,Comedy,Crime"
The President's Last Bang,14-Oct-05,"Drama,History,Comedy,Crime"
A Dry White Season,20-Sep-89,"Drama,Thriller"
Storm Boy,5-Apr-19,"Adventure,Drama,Family"
Pianomania,4-Nov-11,"Music,Documentary"
Harmony and Me,18-Sep-09,Comedy
Fiddler on the Roof,3-Nov-71,"Drama,Romance,Family,Musical"
The Spy Behind Home Plate,24-May-19,Documentary
Smash & Grab: The Story of the Pink Panthers,31-Jul-13,"History,Thriller,Crime,Documentary"
Mosquita y Mari,3-Aug-12,Drama
E-Team,22-Oct-14,Documentary
Norman Lear: Just Another Version of You,8-Jul-16,"Biography,History,Documentary"
"White King, Red Rubber, Black Death",21-Oct-05,"History,Documentary"
They Call Us Monsters,20-Jan-17,Documentary
Touch Me Not,11-Jan-19,Drama
Don't Leave Home,14-Sep-18,"Mystery,Thriller,Horror"
Teenage,14-Mar-14,"History,Documentary"
Sister Helen,24-Oct-03,Documentary
West of Sunshine,18-Jan-19,"Drama,Crime"
Tip Top,12-Dec-14,"Thriller,Comedy"
Last Call at the Oasis,4-May-12,Documentary
Low Tide,4-Oct-19,"Drama,Thriller"
Persons of Interest,3-Sep-04,Documentary
Hannah,23-Feb-18,Drama
Klitschko,21-Oct-11,"Biography,Sport,Documentary"
Little Jerusalem,27-Jan-06,Drama
Seoul Searching,17-Jun-16,"Drama,Comedy,Romance"
Night Shift,30-Jul-82,Comedy
Dreams of a Life,3-Aug-12,"Drama,Documentary"
We Are the Flesh,13-Jan-17,"Drama,Fantasy,Horror"
The Last Mountain,3-Jun-11,Documentary
Girls Rock!,7-Mar-08,"Music,Documentary"
Princesa,7-Dec-01,"Drama,Romance"
Farmageddon,8-Jul-11,"Documentary,News"
Before You Know It,30-Aug-19,"Drama,Comedy"
The Quest of Alain Ducasse,8-Jun-18,Documentary
The Backyard,29-Aug-03,Documentary
Bicycling With Molière,23-Apr-14,"Drama,Comedy"
Resurrect Dead: The Mystery of the Toynbee Tiles,2-Sep-11,Documentary
Mrs. Hyde,27-Apr-18,Drama
The Outrageous Sophie Tucker,24-Jul-15,Documentary
Mr. Holland's Opus,19-Jan-96,"Drama,Music"
Love! Valour! Compassion!,16-May-97,"Drama,Comedy,Romance"
A Land Imagined,12-Apr-19,Mystery
24 Days,24-Apr-15,"Drama,Thriller"
Where Soldiers Come From,9-Sep-11,Documentary
Bottom of the 9th,19-Jul-19,Drama
The House of Tomorrow,27-Apr-18,"Drama,Comedy"
Go Further,8-Oct-04,Documentary
Free Radicals,23-Jul-04,"Drama,Romance"
Somebody Up There Likes Me,8-Mar-13,Comedy
The Notebook,29-Aug-14,"Drama,War"
The Laundromat,27-Sep-19,Drama
Cet amour-là,2-Apr-03,Drama
Three Peaks,28-Jun-19,Drama
Backstage,22-Nov-06,"Drama,Music"
Saudate for the Future,20-Jun-01,"Music,Documentary"
How to Live Forever,13-May-11,Documentary
Collaborator,6-Jul-12,"Drama,Comedy"
The Misandrists,25-May-18,"Drama,Comedy"
Rollerball,25-Jun-75,"Action,Sci-Fi,Sport"
Claire Dolan,25-Feb-00,Drama
Tiger Eyes,7-Jun-13,Drama
Breaking Upwards,2-Apr-10,Romance
Diary of a Chambermaid,10-Jun-16,Drama
Detour,29-Mar-13,Thriller
Loro,20-Sep-19,"Biography,Drama"
Breakin' 2: Electric Boogaloo,21-Dec-84,"Drama,Comedy,Musical"
Little Pink House,20-Apr-18,Drama
The Girl Is in Trouble,3-Apr-15,"Thriller,Crime"
Marie's Story,1-May-15,Biography
Explicit Ills,6-Mar-09,Drama
Honour,11-Jul-14,Thriller
The Heart of Me,13-Jun-03,"Drama,Romance"
Putin's Kiss,17-Feb-12,"Drama,Documentary"
Citizen Koch,6-Jun-14,"Drama,Documentary"
In the Name Of,30-Oct-13,"Drama,Thriller"
Heavy Metal,7-Aug-81,"Adventure,Sci-Fi,Fantasy,Animation"
11 Minutes,8-Apr-16,"Drama,Thriller"
First Descent,2-Dec-05,"Sport,Documentary"
Moscow Never Sleeps,9-Jun-17,Drama
You're Killing Me Susana,17-Feb-17,"Drama,Comedy,Romance"
Beauty Remains,19-Sep-07,Drama
Body,11-Dec-15,"Drama,Thriller"
Half Magic,23-Feb-18,"Comedy,Romance"
Stagedoor,24-May-06,Documentary
Crazy Wisdom: The Life & Times of Chogyam Trungpa Rinpoche,25-Nov-11,Documentary
My Amityville Horror,15-Mar-13,Documentary
The World Made Straight,9-Jan-15,Drama
Condo Painting,10-Mar-00,Documentary
Coffee Date,10-Nov-06,Comedy
Who Killed Bambi?,12-Nov-04,"Drama,Thriller"
Perfect,7-Jun-85,"Drama,Romance"
Digging Up the Marrow,20-Feb-15,"Biography,Drama,Mystery,Thriller,Fantasy,Horror"
Fire and Ice,26-Aug-83,"Adventure,Fantasy,Animation"
Foul Play,14-Jul-78,"Mystery,Thriller,Comedy"
Swimming with Men,7-Dec-18,"Drama,Sport,Comedy,Romance"
Angels in the Outfield,15-Jul-94,"Sport,Fantasy,Comedy,Family"
Carbon Nation,11-Feb-11,"Family,Documentary"
Steve + Sky,8-Jul-05,"Drama,Comedy,Romance"
The Great Role,6-May-05,"Drama,Comedy,Romance"
Crooked Arrows,1-Jun-12,"Drama,Sport"
Mighty Fine,25-May-12,"Drama,Comedy"
Pizza,20-Jan-06,Comedy
U Want Me 2 Kill Him?,14-Mar-14,"Drama,Thriller"
The Intended,25-Jun-04,Drama
The Loss of Sexual Innocence,28-May-99,Drama
"Milwaukee, Minnesota",3-Jun-05,Drama
Nowhere Man,11-Mar-05,"Action,Drama,Horror,Comedy,Crime"
An Acceptable Loss,18-Jan-19,"Drama,Thriller"
Rodin,1-Jun-18,"Biography,Drama,Romance"
Till Human Voices Wake Us,21-Feb-03,Drama
Vincent Wants to Sea,24-Jun-11,Drama
Confessions of a Burning Man,27-Feb-04,Documentary
Aardvark,13-Apr-18,Drama
Can't Buy Me Love,14-Aug-87,"Drama,Comedy,Romance"
Stateside,21-May-04,"Drama,Romance"
Isn't She Great,28-Jan-00,"Biography,Comedy,Romance"
Losing Control,23-Mar-12,Comedy
My Favorite Martian,12-Feb-99,"Sci-Fi,Comedy,Family"
The Perfect Holiday,12-Dec-07,"Comedy,Romance,Family"
Beyond Honor,17-Mar-06,Drama
Least Among Saints,12-Oct-12,Drama
The Curse of Downers Grove,21-Aug-15,"Drama,Mystery,Thriller,Horror"
Cost of a Soul,20-May-11,"Drama,Crime"
Immigration Tango,18-Feb-11,Comedy
Maladies,21-Mar-14,Drama
Saturn 3,15-Feb-80,"Adventure,Sci-Fi,Thriller,Horror"
Force of Evil,1-Mar-49,"Drama,Crime,Film-Noir"
